date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:53:20	10440/10440	---M--	200	added ('OK')	image/jpeg	etag:%22a7820d9-28c8-5a55886499009%22	http://fiisha.com/images/media/2020/05/medium1589174512HhqJW11305.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1589174512HhqJW11305.jpg	(from http://fiisha.com/)
05:53:20	8191/8191	---M--	200	added ('OK')	image/jpeg	etag:%22a7820d0-1fff-5a558863223e2%22	http://fiisha.com/images/media/2020/05/medium15891745100Txvi11605.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium15891745100Txvi11605.jpg	(from http://fiisha.com/)
05:53:21	162307/162307	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:48%20GMT	http://fiisha.com/product-detail/2400-18	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/2400-18.html	(from http://fiisha.com/)
05:53:22	17259/17259	---M--	200	added ('OK')	image/jpeg	etag:%22a7820cd-436b-5a558862ef75f%22	http://fiisha.com/images/media/2020/05/medium1589174510olUZl11605.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1589174510olUZl11605.jpg	(from http://fiisha.com/)
05:53:24	160622/160622	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:50%20GMT	http://fiisha.com/product-detail/2400-17	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/2400-17.html	(from http://fiisha.com/)
05:53:25	157504/157504	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:52%20GMT	http://fiisha.com/product-detail/2400-15	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/2400-15.html	(from http://fiisha.com/)
05:53:26	8607/8607	---M--	200	added ('OK')	image/jpeg	etag:%22a7820c7-219f-5a5588622399f%22	http://fiisha.com/images/media/2020/05/medium1589174509GxkfA11605.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1589174509GxkfA11605.jpg	(from http://fiisha.com/)
05:53:28	165874/165874	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:55%20GMT	http://fiisha.com/product-detail/2400-14	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/2400-14.html	(from http://fiisha.com/)
05:53:29	9229/9229	---M--	200	added ('OK')	image/jpeg	etag:%22a7820c4-240d-5a558861b445b%22	http://fiisha.com/images/media/2020/05/medium1589174509R8XQp11705.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1589174509R8XQp11705.jpg	(from http://fiisha.com/)
05:53:30	160773/160773	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:57%20GMT	http://fiisha.com/product-detail/2400-13	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/2400-13.html	(from http://fiisha.com/)
